Sexo,Altura,Peso
Masculino,1.875714232,109.7210746
Masculino,1.747060363,73.6227919
Masculino,1.882396677,96.49762889
Masculino,1.821966851,99.8095856
Masculino,1.774997615,93.5986951
Masculino,1.708226599,69.04227249
Masculino,1.747141064,83.4282869
Masculino,1.736052294,76.1904141
Masculino,1.702281321,79.80025182
Masculino,1.611794947,70.94169989
Masculino,1.80836271,84.64257046
Masculino,1.81967645,96.95136364
Masculino,1.64506476,75.80774117
Masculino,1.759789981,85.93134241
Masculino,1.758790799,84.56511611
Masculino,1.71819874,78.10267771
Masculino,1.839425242,88.91703476
Masculino,1.624947873,78.41862298
Masculino,1.768857521,84.36090411
Masculino,1.725574523,82.74733562
Masculino,1.725042275,78.97765694
Masculino,1.763761773,89.68946415
Masculino,1.680187952,67.66399134
Masculino,1.91023173,103.7645982
Masculino,1.724487187,73.48498115
Masculino,1.730858433,87.2457602
Masculino,1.754876638,83.65838787
Masculino,1.849141425,93.81568861
Masculino,1.712499554,79.47569832
Masculino,1.73980895,70.00864337
Masculino,1.742900008,85.0516734
Masculino,1.880458714,96.57445369
Masculino,1.816816687,88.46513742
Masculino,1.757176092,93.06972507
Masculino,1.76726094,92.60728955
Masculino,1.788183594,87.4995626
Masculino,1.754534748,89.57916001
Masculino,1.706715491,83.37525497
Masculino,1.671505818,74.32193759
Masculino,1.633326372,73.98455204
Masculino,1.72654814,78.07939359
Masculino,1.833611419,88.0175151
Masculino,1.657866776,76.48372312
Masculino,1.678690505,73.11611112
Masculino,1.714762167,74.68864543
Masculino,1.780661571,85.69371525
Masculino,1.733596646,84.84923921
Masculino,1.833186812,94.83294843
Masculino,1.757168384,87.09623747
Masculino,1.850907148,95.86334401
Masculino,1.645477608,75.12017003
Masculino,1.782662167,91.20468787
Masculino,1.739682836,78.66378517
Masculino,1.710203104,82.28513919
Masculino,1.70156998,76.99172898
Masculino,1.689088567,74.07595599
Masculino,1.736167639,86.05110372
Masculino,1.79767126,87.14636482
Masculino,1.808884461,89.90131106
Masculino,1.77833948,95.03962162
Masculino,1.813640828,90.15592543
Masculino,1.766620929,89.8473606
Masculino,1.874990778,88.58233163
Masculino,1.701720822,74.81702372
Masculino,1.814029034,81.58489372
Masculino,1.658094225,70.42040627
Masculino,1.734164463,83.69658797
Masculino,1.848240397,100.0978759
Masculino,1.729724247,83.14922177
Masculino,1.749976334,89.10881634
Masculino,1.759953553,83.73115946
Masculino,1.791289903,94.13531207
Masculino,1.769458621,80.37698926
Masculino,1.716919828,73.98454528
Masculino,1.841706258,98.07493943
Masculino,1.809825834,92.83017047
Masculino,1.823953347,91.13603807
Masculino,1.835027203,100.1993573
Masculino,1.689420743,89.10815772
Masculino,1.677137464,76.49418469
Masculino,1.71645971,82.29649429
Masculino,1.733462842,90.11005844
Masculino,1.875183626,107.9172161
Masculino,1.772982595,78.49019337
Masculino,1.675373276,72.88499855
Masculino,1.805407047,85.54884506
Masculino,1.691543392,94.50401712
Masculino,1.751368991,87.74069384
Masculino,1.733409329,78.97482865
Masculino,1.836847358,89.52488614
Masculino,1.824111679,91.45359605
Masculino,1.657021058,82.10564992
Masculino,1.794269464,82.60937006
Masculino,1.64419091,80.53499118
Masculino,1.7044302,74.83121105
Masculino,1.653984116,75.16801767
Masculino,1.821211344,87.58603926
Masculino,1.697555107,81.95683253
Masculino,1.688370392,78.36884244
Masculino,1.763052766,80.49931741
Masculino,1.779325308,91.08984699
Masculino,1.695287558,76.08548222
Masculino,1.68336796,70.03267737
Masculino,1.735542579,80.73251487
Masculino,1.77992756,83.43326208
Masculino,1.745817899,81.28592183
Masculino,1.715923702,71.92522921
Masculino,1.682842266,75.52473151
Masculino,1.757227948,78.01048392
Masculino,1.717271265,79.09026274
